Town,Cases
Andover,0
Ansonia,17
Ashford,1
Avon,10
Barkhamsted,0
Beacon Falls,3
Berlin,11
Bethany,1
Bethel,37
Bethlehem,4
Bloomfield,11
Bolton,2
Bozrah,1
Branford,19
Bridgeport,86
Bridgewater,2
Bristol,9
Brookfield,58
Brooklyn,0
Burlington,5
Canaan,0
Canterbury,0
Canton,1
Chaplin,0
Cheshire,18
Chester,1
Clinton,7
Colchester,2
Colebrook,0
Columbia,2
Cornwall,1
Coventry,4
Cromwell,5
Danbury,223
Darien,69
Deep River,3
Derby,9
Durham,1
East Granby,1
East Haddam,2
East Hampton,3
East Hartford,21
East Haven,13
East Lyme,2
East Windsor,2
Eastford,1
Easton,4
Ellington,2
Enfield,24
Essex,2
Fairfield,40
Farmington,15
Franklin,1
Glastonbury,12
Goshen,1
Granby,1
Greenwich,149
Town,Cases
Griswold,1
Groton,2
Guilford,5
Haddam,1
Hamden,47
Hampton,0
Hartford,65
Hartland,0
Harwinton,4
Hebron,3
Kent,5
Killingly,2
Killingworth,1
Lebanon,2
Ledyard,2
Lisbon,2
Litchfield,3
Lyme,1
Madison,11
Manchester,23
Mansfield,1
Marlborough,2
Meriden,24
Middlebury,7
Middlefield,1
Middletown,19
Milford,17
Monroe,8
Montville,2
Morris,1
Naugatuck,9
New Britain,27
New Canaan,41
New Fairfield,30
New Hartford,3
New Haven,121
New London,2
New Milford,35
Newington,26
Newtown,33
Norfolk,1
North Branford,5
North Canaan,0
North Haven,9
North Stonington,0
Norwalk,302
Norwich,2
Old Lyme,1
Old Saybrook,5
Orange,7
Oxford,11
Plainfield,0
Plainville,7
Plymouth,2
Pomfret,1
Portland,3
Preston,1
Town,Cases
Prospect,4
Putnam,0
Redding,16
Ridgefield,77
Rocky Hill,17
Roxbury,2
Salem,0
Salisbury,3
Scotland,0
Seymour,13
Sharon,3
Shelton,46
Sherman,4
Simsbury,7
Somers,4
South Windsor,9
Southbury,13
Southington,19
Sprague,0
Stafford,17
Stamford,401
Sterling,0
Stonington,2
Stratford,31
Suffield,9
Thomaston,7
Thompson,1
Tolland,9
Torrington,20
Trumbull,17
Union,0
Vernon,11
Voluntown,1
Wallingford,10
Warren,0
Washington,10
Waterbury,75
Waterford,0
Watertown,7
West Hartford,20
West Haven,38
Westbrook,2
Weston,29
Westport,120
Wethersfield,15
Willington,1
Wilton,49
Winchester,2
Windham,2
Windsor,20
Windsor Locks,4
Wolcott,5
Woodbridge,6
Woodbury,5
Woodstock,3
