Town,Cases
Andover,0
Ansonia,3
Ashford,0
Avon,6
Barkhamsted,0
Beacon Falls,1
Berlin,9
Bethany,0
Bethel,11
Bethlehem,3
Bloomfield,3
Bolton,2
Bozrah,0
Branford,12
Bridgeport,41
Bridgewater,1
Bristol,7
Brookfield,29
Brooklyn,0
Burlington,3
Canaan,0
Canterbury,0
Canton,0
Chaplin,0
Cheshire,6
Chester,0
Clinton,5
Colchester,1
Colebrook,0
Columbia,2
Cornwall,1
Coventry,3
Cromwell,1
Danbury,85
Darien,20
Deep River,2
Derby,3
Durham,1
East Granby,1
East Haddam,0
East Hampton,1
East Hartford,3
East Haven,7
East Lyme,2
East Windsor,0
Eastford,0
Easton,3
Ellington,0
Enfield,10
Essex,0
Fairfield,18
Farmington,11
Franklin,1
Glastonbury,8
Goshen,0
Granby,0
Greenwich,77
Town,Cases
Griswold,0
Groton,1
Guilford,3
Haddam,1
Hamden,11
Hampton,0
Hartford,21
Hartland,0
Harwinton,4
Hebron,1
Kent,1
Killingly,1
Killingworth,1
Lebanon,0
Ledyard,1
Lisbon,2
Litchfield,2
Lyme,1
Madison,6
Manchester,12
Mansfield,1
Marlborough,2
Meriden,9
Middlebury,2
Middlefield,0
Middletown,6
Milford,15
Monroe,6
Montville,1
Morris,1
Naugatuck,7
New Britain,11
New Canaan,18
New Fairfield,16
New Hartford,0
New Haven,52
New London,1
New Milford,10
Newington,14
Newtown,16
Norfolk,1
North Branford,0
North Canaan,0
North Haven,1
North Stonington,0
Norwalk,105
Norwich,2
Old Lyme,0
Old Saybrook,4
Orange,6
Oxford,5
Plainfield,0
Plainville,3
Plymouth,1
Pomfret,0
Portland,2
Preston,0
Town,Cases
Prospect,1
Putnam,0
Redding,7
Ridgefield,46
Rocky Hill,11
Roxbury,1
Salem,0
Salisbury,3
Scotland,0
Seymour,5
Sharon,2
Shelton,18
Sherman,2
Simsbury,4
Somers,0
South Windsor,4
Southbury,5
Southington,13
Sprague,0
Stafford,14
Stamford,76
Sterling,0
Stonington,1
Stratford,17
Suffield,7
Thomaston,5
Thompson,0
Tolland,6
Torrington,8
Trumbull,8
Union,0
Vernon,4
Voluntown,1
Wallingford,2
Warren,0
Washington,5
Waterbury,36
Waterford,0
Watertown,1
West Hartford,9
West Haven,18
Westbrook,1
Weston,13
Westport,95
Wethersfield,6
Willington,0
Wilton,25
Winchester,0
Windham,0
Windsor,9
Windsor Locks,2
Wolcott,3
Woodbridge,3
Woodbury,2
Woodstock,2
