Town,Cases
Andover,0
Ansonia,3
Ashford,0
Avon,4
Barkhamsted,0
Beacon Falls,1
Berlin,6
Bethany,0
Bethel,10
Bethlehem,3
Bloomfield,2
Bolton,2
Bozrah,0
Branford,6
Bridgeport,32
Bridgewater,1
Bristol,2
Brookfield,24
Brooklyn,0
Burlington,1
Canaan,0
Canterbury,0
Canton,0
Chaplin,0
Cheshire,3
Chester,0
Clinton,4
Colchester,1
Colebrook,0
Columbia,1
Cornwall,0
Coventry,3
Cromwell,1
Danbury,69
Darien,14
Deep River,1
Derby,2
Durham,1
East Granby,1
East Haddam,0
East Hampton,1
East Hartford,4
East Haven,5
East Lyme,2
East Windsor,0
Eastford,0
Easton,2
Ellington,0
Enfield,6
Essex,0
Fairfield,16
Farmington,8
Franklin,1
Glastonbury,8
Goshen,0
Granby,0
Greenwich,57
Town,Cases
Griswold,0
Groton,1
Guilford,2
Haddam,1
Hamden,7
Hampton,0
Hartford,21
Hartland,0
Harwinton,4
Hebron,1
Kent,1
Killingly,1
Killingworth,1
Lebanon,0
Ledyard,0
Lisbon,2
Litchfield,2
Lyme,1
Madison,3
Manchester,8
Mansfield,1
Marlborough,0
Meriden,8
Middlebury,1
Middlefield,0
Middletown,3
Milford,8
Monroe,4
Montville,1
Morris,1
Naugatuck,6
New Britain,8
New Canaan,17
New Fairfield,13
New Hartford,0
New Haven,32
New London,0
New Milford,6
Newington,10
Newtown,14
Norfolk,1
North Branford,0
North Canaan,0
North Haven,0
North Stonington,0
Norwalk,76
Norwich,2
Old Lyme,0
Old Saybrook,3
Orange,3
Oxford,5
Plainfield,0
Plainville,1
Plymouth,1
Pomfret,0
Portland,2
Preston,0
Town,Cases
Prospect,1
Putnam,0
Redding,7
Ridgefield,43
Rocky Hill,9
Roxbury,0
Salem,0
Salisbury,3
Scotland,0
Seymour,5
Sharon,2
Shelton,13
Sherman,2
Simsbury,3
Somers,0
South Windsor,4
Southbury,6
Southington,8
Sprague,0
Stafford,14
Stamford,60
Sterling,0
Stonington,1
Stratford,12
Suffield,6
Thomaston,6
Thompson,0
Tolland,6
Torrington,7
Trumbull,6
Union,0
Vernon,5
Voluntown,1
Wallingford,2
Warren,0
Washington,3
Waterbury,30
Waterford,0
Watertown,1
West Hartford,6
West Haven,12
Westbrook,0
Weston,10
Westport,89
Wethersfield,3
Willington,0
Wilton,17
Winchester,0
Windham,0
Windsor,7
Windsor Locks,2
Wolcott,2
Woodbridge,3
Woodbury,2
Woodstock,2
