Town,Cases
Andover,1
Ansonia,48
Ashford,4
Avon,13
Barkhamsted,3
Beacon Falls,13
Berlin,30
Bethany,6
Bethel,83
Bethlehem,4
Bloomfield,60
Bolton,5
Bozrah,2
Branford,61
Bridgeport,429
Bridgewater,3
Bristol,67
Brookfield,91
Brooklyn,2
Burlington,7
Canaan,0
Canterbury,2
Canton,6
Chaplin,0
Cheshire,36
Chester,12
Clinton,13
Colchester,7
Colebrook,0
Columbia,3
Cornwall,1
Coventry,7
Cromwell,17
Danbury,622
Darien,113
Deep River,5
Derby,28
Durham,8
East Granby,2
East Haddam,5
East Hampton,6
East Hartford,79
East Haven,68
East Lyme,6
East Windsor,8
Eastford,1
Easton,12
Ellington,10
Enfield,89
Essex,6
Fairfield,113
Farmington,35
Franklin,1
Glastonbury,38
Goshen,1
Granby,7
Greenwich,247
Griswold,4
Groton,11
Guilford,25
Haddam,3
Hamden,142
Hampton,0
Hartford,227
Hartland,0
Harwinton,7
Hebron,6
Kent,5
Killingly,6
Killingworth,1
Lebanon,5
Ledyard,4
Lisbon,2
Litchfield,11
Lyme,1
Madison,25
Manchester,103
Mansfield,4
Marlborough,7
Meriden,79
Middlebury,14
Middlefield,2
Middletown,64
Milford,130
Monroe,23
Montville,13
Morris,3
Naugatuck,50
New Britain,87
New Canaan,79
New Fairfield,62
New Hartford,6
New Haven,413
New London,16
New Milford,83
Newington,47
Newtown,54
Norfolk,1
North Branford,14
North Canaan,2
North Haven,35
North Stonington,0
Norwalk,644
Norwich,8
Old Lyme,3
Old Saybrook,9
Orange,20
Oxford,25
Plainfield,3
Plainville,19
Plymouth,13
Pomfret,5
Portland,15
Preston,2
Prospect,16
Putnam,3
Redding,26
Ridgefield,114
Rocky Hill,50
Roxbury,3
Salem,2
Salisbury,4
Scotland,0
Seymour,42
Sharon,6
Shelton,161
Sherman,8
Simsbury,21
Somers,15
South Windsor,22
Southbury,36
Southington,58
Sprague,0
Stafford,31
Stamford,1045
Sterling,2
Stonington,15
Stratford,147
Suffield,27
Thomaston,18
Thompson,4
Tolland,15
Torrington,62
Trumbull,71
Union,0
Vernon,29
Voluntown,1
Wallingford,42
Warren,0
Washington,11
Waterbury,358
Waterford,17
Watertown,25
West Hartford,66
West Haven,167
Westbrook,8
Weston,34
Westport,152
Wethersfield,35
Willington,2
Wilton,87
Winchester,11
Windham,10
Windsor,64
Windsor Locks,16
Wolcott,20
Woodbridge,32
Woodbury,9
Woodstock,7
