Town,Cases
Andover,0
Ansonia,39
Ashford,4
Avon,12
Barkhamsted,2
Beacon Falls,12
Berlin,24
Bethany,4
Bethel,79
Bethlehem,4
Bloomfield,47
Bolton,5
Bozrah,1
Branford,54
Bridgeport,346
Bridgewater,3
Bristol,57
Brookfield,88
Brooklyn,2
Burlington,6
Canaan,0
Canterbury,2
Canton,5
Chaplin,0
Cheshire,33
Chester,9
Clinton,11
Colchester,6
Colebrook,0
Columbia,3
Cornwall,1
Coventry,6
Cromwell,15
Danbury,609
Darien,112
Deep River,5
Derby,26
Durham,7
East Granby,2
East Haddam,5
East Hampton,6
East Hartford,60
East Haven,56
East Lyme,5
East Windsor,4
Eastford,1
Easton,12
Ellington,10
Enfield,69
Essex,5
Fairfield,94
Farmington,33
Franklin,1
Glastonbury,35
Goshen,1
Granby,3
Greenwich,228
Griswold,3
Groton,8
Guilford,23
Haddam,2
Hamden,121
Hampton,0
Hartford,165
Hartland,0
Harwinton,6
Hebron,5
Kent,5
Killingly,6
Killingworth,1
Lebanon,4
Ledyard,4
Lisbon,2
Litchfield,9
Lyme,1
Madison,24
Manchester,87
Mansfield,3
Marlborough,5
Meriden,68
Middlebury,11
Middlefield,2
Middletown,56
Milford,113
Monroe,19
Montville,3
Morris,3
Naugatuck,38
New Britain,66
New Canaan,78
New Fairfield,61
New Hartford,3
New Haven,365
New London,13
New Milford,81
Newington,42
Newtown,55
Norfolk,1
North Branford,13
North Canaan,1
North Haven,29
North Stonington,0
Norwalk,625
Norwich,6
Old Lyme,3
Old Saybrook,8
Orange,19
Oxford,24
Plainfield,3
Plainville,16
Plymouth,9
Pomfret,4
Portland,13
Preston,2
Prospect,15
Putnam,1
Redding,23
Ridgefield,111
Rocky Hill,45
Roxbury,3
Salem,1
Salisbury,4
Scotland,0
Seymour,34
Sharon,6
Shelton,140
Sherman,8
Simsbury,15
Somers,11
South Windsor,18
Southbury,30
Southington,49
Sprague,0
Stafford,29
Stamford,1000
Sterling,2
Stonington,9
Stratford,120
Suffield,23
Thomaston,16
Thompson,2
Tolland,13
Torrington,50
Trumbull,60
Union,0
Vernon,24
Voluntown,1
Wallingford,36
Warren,0
Washington,11
Waterbury,299
Waterford,12
Watertown,19
West Hartford,51
West Haven,148
Westbrook,5
Weston,34
Westport,148
Wethersfield,35
Willington,2
Wilton,86
Winchester,8
Windham,9
Windsor,57
Windsor Locks,14
Wolcott,14
Woodbridge,16
Woodbury,9
Woodstock,7
