Town,Cases
Andover,0
Ansonia,38
Ashford,4
Avon,11
Barkhamsted,2
Beacon Falls,11
Berlin,23
Bethany,4
Bethel,73
Bethlehem,4
Bloomfield,41
Bolton,5
Bozrah,1
Branford,49
Bridgeport,236
Bridgewater,3
Bristol,40
Brookfield,88
Brooklyn,2
Burlington,6
Canaan,0
Canterbury,2
Canton,2
Chaplin,0
Cheshire,30
Chester,9
Clinton,8
Colchester,6
Colebrook,0
Columbia,3
Cornwall,1
Coventry,6
Cromwell,14
Danbury,570
Darien,109
Deep River,5
Derby,23
Durham,6
East Granby,2
East Haddam,5
East Hampton,5
East Hartford,48
East Haven,50
East Lyme,3
East Windsor,4
Eastford,1
Easton,9
Ellington,9
Enfield,50
Essex,5
Fairfield,85
Farmington,30
Franklin,1
Glastonbury,26
Goshen,1
Granby,3
Greenwich,221
Griswold,3
Groton,6
Guilford,20
Haddam,2
Hamden,109
Hampton,0
Hartford,147
Hartland,0
Harwinton,6
Hebron,5
Kent,5
Killingly,6
Killingworth,1
Lebanon,3
Ledyard,3
Lisbon,2
Litchfield,9
Lyme,1
Madison,22
Manchester,80
Mansfield,2
Marlborough,5
Meriden,64
Middlebury,10
Middlefield,2
Middletown,52
Milford,77
Monroe,10
Montville,2
Morris,3
Naugatuck,37
New Britain,57
New Canaan,73
New Fairfield,57
New Hartford,3
New Haven,319
New London,12
New Milford,74
Newington,37
Newtown,53
Norfolk,1
North Branford,12
North Canaan,1
North Haven,29
North Stonington,0
Norwalk,595
Norwich,6
Old Lyme,3
Old Saybrook,7
Orange,15
Oxford,22
Plainfield,3
Plainville,13
Plymouth,7
Pomfret,4
Portland,10
Preston,1
Prospect,13
Putnam,1
Redding,21
Ridgefield,109
Rocky Hill,31
Roxbury,3
Salem,0
Salisbury,4
Scotland,0
Seymour,32
Sharon,6
Shelton,124
Sherman,8
Simsbury,11
Somers,9
South Windsor,16
Southbury,28
Southington,41
Sprague,0
Stafford,28
Stamford,888
Sterling,0
Stonington,6
Stratford,84
Suffield,20
Thomaston,12
Thompson,3
Tolland,12
Torrington,44
Trumbull,48
Union,0
Vernon,22
Voluntown,1
Wallingford,30
Warren,0
Washington,11
Waterbury,278
Waterford,5
Watertown,16
West Hartford,43
West Haven,122
Westbrook,4
Weston,33
Westport,146
Wethersfield,30
Willington,2
Wilton,79
Winchester,5
Windham,7
Windsor,54
Windsor Locks,11
Wolcott,12
Woodbridge,12
Woodbury,9
Woodstock,7
