OID,Province_S,Country_Re,Lat,Lon,date,number_of_cases,number_of_deaths,number_of_recovered,coordinate,
, ,Grenada,12.1165,-61.679,2/11/2020 0:00,0,0,0,"-61.679,12.1165",
, ,Guatemala,15.7835,-90.2308,2/11/2020 0:00,0,0,0,"-90.2308,15.7835",
, ,Guinea,9.9456,-9.6966,2/11/2020 0:00,0,0,0,"-9.6966,9.9456",
, ,Guinea-Bissau,11.8037,-15.1804,2/11/2020 0:00,0,0,128,"-15.1804,11.8037",
, ,Guyana,5,-58.75,2/11/2020 0:00,0,0,0,"-58.75,5",
, ,Haiti,18.9712,-72.2852,2/11/2020 0:00,0,0,0,"-72.2852,18.9712",
, ,Holy See,41.9029,12.4534,2/11/2020 0:00,0,0,0,"12.4534,41.9029",
, ,Honduras,15.2,-86.2419,2/11/2020 0:00,0,0,0,"-86.2419,15.2",
, ,Hungary,47.1625,19.5033,2/11/2020 0:00,0,0,0,"19.5033,47.1625",
, ,Iceland,64.9631,-19.0208,2/11/2020 0:00,0,0,0,"-19.0208,64.9631",
, ,India,21,78,2/11/2020 0:00,3,0,0,"78,21",
, ,Indonesia,-0.7893,113.9213,2/11/2020 0:00,0,0,0,"113.9213,-0.7893",
, ,Iran,32,53,2/11/2020 0:00,0,0,0,"53,32",
, ,Iraq,33,44,2/11/2020 0:00,0,0,0,"44,33",
, ,Ireland,53.1424,-7.6921,2/11/2020 0:00,0,0,0,"-7.6921,53.1424",
, ,Israel,31,35,2/11/2020 0:00,0,0,0,"35,31",
, ,Italy,43,12,2/11/2020 0:00,3,0,0,"12,43",
, ,Jamaica,18.1096,-77.2975,2/11/2020 0:00,0,0,0,"-77.2975,18.1096",
, ,Japan,36,138,2/11/2020 0:00,26,0,1,"138,36",
, ,Jordan,31.24,36.51,2/11/2020 0:00,0,0,0,"36.51,31.24",
, ,Kazakhstan,48.0196,66.9237,2/11/2020 0:00,0,0,0,"66.9237,48.0196",
, ,Saint Lucia,13.9094,-60.9789,2/10/2020 0:00,0,0,0,"-60.9789,13.9094",
,Faroe Islands,Denmark,61.8926,-6.9118,2/12/2020 0:00,0,0,0,"-6.9118,61.8926",
, ,Iraq,33,44,2/13/2020 0:00,0,0,0,"44,33",
,Montserrat,United Kingdom,16.7425,-62.1874,2/13/2020 0:00,0,0,68,"-62.1874,16.7425",
, ,Congo (Brazzaville),-4.0383,21.7587,2/14/2020 0:00,0,0,0,"21.7587,-4.0383",
, ,Philippines,13,122,2/12/2020 0:00,3,1,0,"122,13",
, ,Poland,51.9194,19.1451,2/12/2020 0:00,0,0,0,"19.1451,51.9194",
, ,Portugal,39.3999,-8.2245,2/12/2020 0:00,0,0,0,"-8.2245,39.3999",
, ,Qatar,25.3548,51.1839,2/12/2020 0:00,0,0,0,"51.1839,25.3548",
, ,Romania,45.9432,24.9668,2/12/2020 0:00,0,0,0,"24.9668,45.9432",
, ,Russia,60,90,2/12/2020 0:00,2,0,0,"90,60",
, ,Rwanda,-1.9403,29.8739,2/12/2020 0:00,0,0,0,"29.8739,-1.9403",
, ,Saint Kitts and Nevis,17.357822,-62.782998,2/12/2020 0:00,0,0,25,"-62.782998,17.357822",
, ,Saint Lucia,13.9094,-60.9789,2/12/2020 0:00,0,0,0,"-60.9789,13.9094",
, ,Saint Vincent and the Grenadines,12.9843,-61.2872,2/12/2020 0:00,0,0,0,"-61.2872,12.9843",
, ,San Marino,43.9424,12.4578,2/12/2020 0:00,0,0,0,"12.4578,43.9424",
, ,Saudi Arabia,24,45,2/12/2020 0:00,0,0,0,"45,24",
, ,Senegal,14.4974,-14.4524,2/12/2020 0:00,0,0,0,"-14.4524,14.4974",
, ,Serbia,44.0165,21.0059,2/12/2020 0:00,0,0,0,"21.0059,44.0165",
, ,Seychelles,-4.6796,55.492,2/12/2020 0:00,0,0,4,"55.492,-4.6796",
, ,Singapore,1.2833,103.8333,2/12/2020 0:00,50,0,0,"103.8333,1.2833",
, ,"Korea, South",36,128,2/11/2020 0:00,28,0,0,"128,36",
, ,Kosovo,42.602636,20.902977,2/11/2020 0:00,0,0,27,"20.902977,42.602636",
, ,Kuwait,29.5,47.75,2/11/2020 0:00,0,0,2,"47.75,29.5",
, ,Kyrgyzstan,41.2044,74.7661,2/11/2020 0:00,0,0,0,"74.7661,41.2044",
, ,Laos,19.85627,102.495496,2/11/2020 0:00,0,0,0,"102.495496,19.85627",
, ,Latvia,56.8796,24.6032,2/11/2020 0:00,0,0,0,"24.6032,56.8796",
, ,Lebanon,33.8547,35.8623,2/11/2020 0:00,0,0,0,"35.8623,33.8547",
, ,Liberia,6.4281,-9.4295,2/11/2020 0:00,0,0,0,"-9.4295,6.4281",
, ,Libya,26.3351,17.228331,2/11/2020 0:00,0,0,157,"17.228331,26.3351",
, ,Liechtenstein,47.14,9.55,2/11/2020 0:00,0,0,0,"9.55,47.14",
, ,Lithuania,55.1694,23.8813,2/11/2020 0:00,0,0,0,"23.8813,55.1694",
, ,Luxembourg,49.8153,6.1296,2/11/2020 0:00,0,0,0,"6.1296,49.8153",
, ,MS Zaandam,0,0,2/11/2020 0:00,0,0,1,"0,0",
, ,Madagascar,-18.7669,46.8691,2/11/2020 0:00,0,0,0,"46.8691,-18.7669",
, ,Malaysia,2.5,112.5,2/11/2020 0:00,18,0,0,"112.5,2.5",
, ,Maldives,3.2028,73.2207,2/11/2020 0:00,0,0,15,"73.2207,3.2028",
, ,Mali,17.570692,-3.996166,2/11/2020 0:00,0,0,57,"-3.996166,17.570692",
, ,Malta,35.9375,14.3754,2/11/2020 0:00,0,0,0,"14.3754,35.9375",
, ,Mauritania,21.0079,10.9408,2/11/2020 0:00,0,0,0,"10.9408,21.0079",
, ,Mauritius,-20.2,57.5,2/11/2020 0:00,0,0,0,"57.5,-20.2",
, ,Mexico,23.6345,-102.5528,2/11/2020 0:00,0,0,0,"-102.5528,23.6345",
, ,Moldova,47.4116,28.3699,2/11/2020 0:00,0,0,0,"28.3699,47.4116",
, ,Monaco,43.7333,7.4167,2/11/2020 0:00,0,0,1,"7.4167,43.7333",
, ,Mongolia,46.8625,103.8467,2/11/2020 0:00,0,0,0,"103.8467,46.8625",
, ,Montenegro,42.5,19.3,2/11/2020 0:00,0,0,0,"19.3,42.5",
, ,Morocco,31.7917,-7.0926,2/11/2020 0:00,0,0,0,"-7.0926,31.7917",
, ,Mozambique,-18.665695,35.529562,2/11/2020 0:00,0,0,1,"35.529562,-18.665695",
, ,Namibia,-22.9576,18.4904,2/11/2020 0:00,0,0,0,"18.4904,-22.9576",
, ,Nepal,28.1667,84.25,2/11/2020 0:00,1,0,0,"84.25,28.1667",
,Aruba,Netherlands,12.5186,-70.0358,2/11/2020 0:00,0,0,1,"-70.0358,12.5186",
,Curacao,Netherlands,12.1696,-68.99,2/11/2020 0:00,0,0,0,"-68.99,12.1696",
,Sint Maarten,Netherlands,18.0425,-63.0548,2/11/2020 0:00,0,0,10,"-63.0548,18.0425",
, ,Netherlands,52.1326,5.2913,2/11/2020 0:00,0,0,0,"5.2913,52.1326",
, ,New Zealand,-40.9006,174.886,2/11/2020 0:00,0,0,0,"174.886,-40.9006",
, ,Nicaragua,12.8654,-85.2072,2/11/2020 0:00,0,0,0,"-85.2072,12.8654",
, ,Niger,17.6078,8.0817,2/11/2020 0:00,0,0,0,"8.0817,17.6078",
, ,Nigeria,9.082,8.6753,2/11/2020 0:00,0,0,0,"8.6753,9.082",
, ,North Macedonia,41.6086,21.7453,2/11/2020 0:00,0,0,0,"21.7453,41.6086",
, ,Norway,60.472,8.4689,2/11/2020 0:00,0,0,0,"8.4689,60.472",
, ,Oman,21,57,2/11/2020 0:00,0,0,1,"57,21",
, ,Pakistan,30.3753,69.3451,2/11/2020 0:00,0,0,0,"69.3451,30.3753",
, ,Panama,8.538,-80.7821,2/11/2020 0:00,0,0,0,"-80.7821,8.538",
, ,Papua New Guinea,-6.315,143.9555,2/11/2020 0:00,0,0,0,"143.9555,-6.315",
, ,Paraguay,-23.4425,-58.4438,2/11/2020 0:00,0,0,0,"-58.4438,-23.4425",
, ,Peru,-9.19,-75.0152,2/11/2020 0:00,0,0,0,"-75.0152,-9.19",
, ,Philippines,13,122,2/11/2020 0:00,3,1,0,"122,13",
, ,Poland,51.9194,19.1451,2/11/2020 0:00,0,0,1,"19.1451,51.9194",
, ,Portugal,39.3999,-8.2245,2/11/2020 0:00,0,0,0,"-8.2245,39.3999",
, ,Qatar,25.3548,51.1839,2/11/2020 0:00,0,0,3,"51.1839,25.3548",
, ,Romania,45.9432,24.9668,2/11/2020 0:00,0,0,0,"24.9668,45.9432",
, ,Russia,60,90,2/11/2020 0:00,2,0,0,"90,60",
, ,Rwanda,-1.9403,29.8739,2/11/2020 0:00,0,0,6,"29.8739,-1.9403",
, ,Saint Kitts and Nevis,17.357822,-62.782998,2/11/2020 0:00,0,0,39,"-62.782998,17.357822",
, ,Saint Lucia,13.9094,-60.9789,2/11/2020 0:00,0,0,0,"-60.9789,13.9094",
, ,Saint Vincent and the Grenadines,12.9843,-61.2872,2/11/2020 0:00,0,0,0,"-61.2872,12.9843",
, ,San Marino,43.9424,12.4578,2/11/2020 0:00,0,0,0,"12.4578,43.9424",
, ,Saudi Arabia,24,45,2/11/2020 0:00,0,0,0,"45,24",
, ,Senegal,14.4974,-14.4524,2/11/2020 0:00,0,0,0,"-14.4524,14.4974",
, ,Serbia,44.0165,21.0059,2/11/2020 0:00,0,0,0,"21.0059,44.0165",
, ,Seychelles,-4.6796,55.492,2/11/2020 0:00,0,0,0,"55.492,-4.6796",
, ,Singapore,1.2833,103.8333,2/11/2020 0:00,47,0,0,"103.8333,1.2833",
, ,Slovakia,48.669,19.699,2/11/2020 0:00,0,0,0,"19.699,48.669",
, ,Slovenia,46.1512,14.9955,2/11/2020 0:00,0,0,0,"14.9955,46.1512",
, ,Somalia,5.1521,46.1996,2/11/2020 0:00,0,0,0,"46.1996,5.1521",
, ,South Africa,-30.5595,22.9375,2/11/2020 0:00,0,0,0,"22.9375,-30.5595",
, ,Spain,40,-4,2/11/2020 0:00,2,0,0,"-4,40",
, ,Sri Lanka,7,81,2/11/2020 0:00,1,0,0,"81,7",
, ,Sudan,12.8628,30.2176,2/11/2020 0:00,0,0,0,"30.2176,12.8628",
, ,Suriname,3.9193,-56.0278,2/11/2020 0:00,0,0,0,"-56.0278,3.9193",
, ,Sweden,63,16,2/11/2020 0:00,1,0,0,"16,63",
, ,Switzerland,46.8182,8.2275,2/11/2020 0:00,0,0,0,"8.2275,46.8182",
, ,Syria,34.802075,38.996815,2/11/2020 0:00,0,0,0,"38.996815,34.802075",
, ,Taiwan*,23.7,121,2/11/2020 0:00,18,0,0,"121,23.7",
, ,Tanzania,-6.369,34.8888,2/11/2020 0:00,0,0,0,"34.8888,-6.369",
, ,Thailand,15,101,2/11/2020 0:00,33,0,4,"101,15",
, ,Timor-Leste,-8.874217,125.727539,2/11/2020 0:00,0,0,1,"125.727539,-8.874217",
, ,Togo,8.6195,0.8248,2/11/2020 0:00,0,0,0,"0.8248,8.6195",
, ,Trinidad and Tobago,10.6918,-61.2225,2/11/2020 0:00,0,0,0,"-61.2225,10.6918",
, ,Tunisia,34,9,2/11/2020 0:00,0,0,0,"9,34",
, ,Turkey,38.9637,35.2433,2/11/2020 0:00,0,0,0,"35.2433,38.9637",
, ,US,37.0902,-95.7129,2/11/2020 0:00,12,0,0,"-95.7129,37.0902",
, ,Uganda,1,32,2/11/2020 0:00,0,0,4,"32,1",
, ,Ukraine,48.3794,31.1656,2/11/2020 0:00,0,0,0,"31.1656,48.3794",
, ,United Arab Emirates,24,54,2/11/2020 0:00,8,0,0,"54,24",
,Anguilla,United Kingdom,18.2206,-63.0686,2/11/2020 0:00,0,0,68,"-63.0686,18.2206",
,Bermuda,United Kingdom,32.3078,-64.7505,2/11/2020 0:00,0,0,0,"-64.7505,32.3078",
,British Virgin Islands,United Kingdom,18.4207,-64.64,2/11/2020 0:00,0,0,33,"-64.64,18.4207",
,Cayman Islands,United Kingdom,19.3133,-81.2546,2/11/2020 0:00,0,0,0,"-81.2546,19.3133",
,Channel Islands,United Kingdom,49.3723,-2.3644,2/11/2020 0:00,0,0,0,"-2.3644,49.3723",
, ,Zimbabwe,-20,30,2/11/2020 0:00,0,0,0,"30,-20",
,Turks and Caicos Islands,United Kingdom,21.694,-71.7979,2/13/2020 0:00,0,0,0,"-71.7979,21.694",
, ,Congo (Kinshasa),-4.0383,21.7587,2/14/2020 0:00,0,0,0,"21.7587,-4.0383",
, ,Slovakia,48.669,19.699,2/12/2020 0:00,0,0,0,"19.699,48.669",
, ,Ireland,53.1424,-7.6921,2/13/2020 0:00,0,0,0,"-7.6921,53.1424",
,Greenland,Denmark,71.7069,-42.6043,2/12/2020 0:00,0,0,0,"-42.6043,71.7069",
, ,Saint Vincent and the Grenadines,12.9843,-61.2872,2/10/2020 0:00,0,0,0,"-61.2872,12.9843",
,Gibraltar,United Kingdom,36.1408,-5.3536,2/11/2020 0:00,0,0,0,"-5.3536,36.1408",
,Isle of Man,United Kingdom,54.2361,-4.5481,2/11/2020 0:00,0,0,0,"-4.5481,54.2361",
,Montserrat,United Kingdom,16.7425,-62.1874,2/11/2020 0:00,0,0,0,"-62.1874,16.7425",
,Turks and Caicos Islands,United Kingdom,21.694,-71.7979,2/11/2020 0:00,0,0,296,"-71.7979,21.694",
, ,United Kingdom,55.3781,-3.436,2/11/2020 0:00,8,0,0,"-3.436,55.3781",
, ,Uruguay,-32.5228,-55.7658,2/11/2020 0:00,0,0,0,"-55.7658,-32.5228",
, ,Uzbekistan,41.3775,64.5853,2/11/2020 0:00,0,0,0,"64.5853,41.3775",
, ,Venezuela,6.4238,-66.5897,2/11/2020 0:00,0,0,0,"-66.5897,6.4238",
, ,Vietnam,16,108,2/11/2020 0:00,15,0,0,"108,16",
, ,West Bank and Gaza,31.9522,35.2332,2/11/2020 0:00,0,0,69,"35.2332,31.9522",
, ,United Kingdom,55.3781,-3.436,2/13/2020 0:00,9,0,391,"-3.436,55.3781",
, ,Uruguay,-32.5228,-55.7658,2/13/2020 0:00,0,0,1,"-55.7658,-32.5228",
, ,Uzbekistan,41.3775,64.5853,2/13/2020 0:00,0,0,425,"64.5853,41.3775",
, ,Venezuela,6.4238,-66.5897,2/13/2020 0:00,0,0,7,"-66.5897,6.4238",
, ,Vietnam,16,108,2/13/2020 0:00,16,0,186,"108,16",
, ,West Bank and Gaza,31.9522,35.2332,2/13/2020 0:00,0,0,1,"35.2332,31.9522",
, ,Zambia,-15.4167,28.2833,2/13/2020 0:00,0,0,210,"28.2833,-15.4167",
, ,Zimbabwe,-20,30,2/13/2020 0:00,0,0,26,"30,-20",
, ,Afghanistan,33,65,2/14/2020 0:00,0,0,0,"65,33",
, ,Albania,41.1533,20.1683,2/14/2020 0:00,0,0,0,"20.1683,41.1533",
, ,Algeria,28.0339,1.6596,2/14/2020 0:00,0,0,0,"1.6596,28.0339",
, ,Andorra,42.5063,1.5218,2/14/2020 0:00,0,0,0,"1.5218,42.5063",
, ,Angola,-11.2027,17.8739,2/14/2020 0:00,0,0,0,"17.8739,-11.2027",
, ,Antigua and Barbuda,17.0608,-61.7964,2/14/2020 0:00,0,0,0,"-61.7964,17.0608",
, ,Argentina,-38.4161,-63.6167,2/14/2020 0:00,0,0,0,"-63.6167,-38.4161",
, ,Afghanistan,33,65,2/12/2020 0:00,0,0,339,"65,33",
, ,Armenia,40.0691,45.0382,2/14/2020 0:00,0,0,0,"45.0382,40.0691",
, ,Costa Rica,9.7489,-83.7534,2/14/2020 0:00,0,0,0,"-83.7534,9.7489",
,Australian Capital Territory,Australia,-35.4735,149.0124,2/14/2020 0:00,0,0,0,"149.0124,-35.4735",
, ,Albania,41.1533,20.1683,2/12/2020 0:00,0,0,6,"20.1683,41.1533",
, ,Cote d'Ivoire,7.54,-5.5471,2/14/2020 0:00,0,0,0,"-5.5471,7.54",
,New South Wales,Australia,-33.8688,151.2093,2/14/2020 0:00,4,0,0,"151.2093,-33.8688",
, ,Slovenia,46.1512,14.9955,2/12/2020 0:00,0,0,0,"14.9955,46.1512",
, ,Israel,31,35,2/13/2020 0:00,0,0,0,"35,31",
, ,Denmark,56.2639,9.5018,2/12/2020 0:00,0,0,3,"9.5018,56.2639",
, ,San Marino,43.9424,12.4578,2/10/2020 0:00,0,0,0,"12.4578,43.9424",
, ,Croatia,45.1,15.2,2/14/2020 0:00,0,0,0,"15.2,45.1",
, ,Algeria,28.0339,1.6596,2/12/2020 0:00,0,0,139,"1.6596,28.0339",
,Northern Territory,Australia,-12.4634,130.8456,2/14/2020 0:00,0,0,0,"130.8456,-12.4634",
, ,Somalia,5.1521,46.1996,2/12/2020 0:00,0,0,0,"46.1996,5.1521",
, ,Italy,43,12,2/13/2020 0:00,3,0,0,"12,43",
, ,Diamond Princess,0,0,2/12/2020 0:00,175,0,0,"0,0",
, ,Saudi Arabia,24,45,2/10/2020 0:00,0,0,0,"45,24",
, ,Cuba,22,-80,2/14/2020 0:00,0,0,0,"-80,22",
, ,Andorra,42.5063,1.5218,2/12/2020 0:00,0,0,170,"1.5218,42.5063",
,Queensland,Australia,-28.0167,153.4,2/14/2020 0:00,5,0,0,"153.4,-28.0167",
, ,South Africa,-30.5595,22.9375,2/12/2020 0:00,0,0,4,"22.9375,-30.5595",
, ,Jamaica,18.1096,-77.2975,2/13/2020 0:00,0,0,2,"-77.2975,18.1096",
, ,Djibouti,11.8251,42.5903,2/12/2020 0:00,0,0,0,"42.5903,11.8251",
, ,Senegal,14.4974,-14.4524,2/10/2020 0:00,0,0,0,"-14.4524,14.4974",
, ,Cyprus,35.1264,33.4299,2/14/2020 0:00,0,0,0,"33.4299,35.1264",
, ,Angola,-11.2027,17.8739,2/12/2020 0:00,0,0,24,"17.8739,-11.2027",
,South Australia,Australia,-34.9285,138.6007,2/14/2020 0:00,2,0,0,"138.6007,-34.9285",
, ,Spain,40,-4,2/12/2020 0:00,2,0,0,"-4,40",
, ,Japan,36,138,2/13/2020 0:00,28,1,0,"138,36",
, ,Dominica,15.415,-61.371,2/12/2020 0:00,0,0,36,"-61.371,15.415",
, ,Serbia,44.0165,21.0059,2/10/2020 0:00,0,0,0,"21.0059,44.0165",
, ,Czechia,49.8175,15.473,2/14/2020 0:00,0,0,0,"15.473,49.8175",
, ,Antigua and Barbuda,17.0608,-61.7964,2/12/2020 0:00,0,0,22,"-61.7964,17.0608",
,Tasmania,Australia,-41.4545,145.9707,2/14/2020 0:00,0,0,0,"145.9707,-41.4545",
, ,Sri Lanka,7,81,2/12/2020 0:00,1,0,0,"81,7",
, ,Jordan,31.24,36.51,2/13/2020 0:00,0,0,12,"36.51,31.24",
, ,Dominican Republic,18.7357,-70.1627,2/12/2020 0:00,0,0,0,"-70.1627,18.7357",
, ,Seychelles,-4.6796,55.492,2/10/2020 0:00,0,0,0,"55.492,-4.6796",
,Faroe Islands,Denmark,61.8926,-6.9118,2/14/2020 0:00,0,0,0,"-6.9118,61.8926",
,Greenland,Denmark,71.7069,-42.6043,2/14/2020 0:00,0,0,0,"-42.6043,71.7069",
, ,Denmark,56.2639,9.5018,2/14/2020 0:00,0,0,0,"9.5018,56.2639",
, ,Diamond Princess,0,0,2/14/2020 0:00,218,0,0,"0,0",
, ,Djibouti,11.8251,42.5903,2/14/2020 0:00,0,0,0,"42.5903,11.8251",
, ,Dominica,15.415,-61.371,2/14/2020 0:00,0,0,0,"-61.371,15.415",
, ,Dominican Republic,18.7357,-70.1627,2/14/2020 0:00,0,0,0,"-70.1627,18.7357",
, ,Ecuador,-1.8312,-78.1834,2/14/2020 0:00,0,0,1,"-78.1834,-1.8312",
, ,Egypt,26,30,2/14/2020 0:00,1,0,0,"30,26",
, ,El Salvador,13.7942,-88.8965,2/14/2020 0:00,0,0,0,"-88.8965,13.7942",
, ,Equatorial Guinea,1.5,10,2/14/2020 0:00,0,0,0,"10,1.5",
, ,Eritrea,15.1794,39.7823,2/14/2020 0:00,0,0,0,"39.7823,15.1794",
, ,Estonia,58.5953,25.0136,2/14/2020 0:00,0,0,2,"25.0136,58.5953",
, ,Eswatini,-26.5225,31.4659,2/14/2020 0:00,0,0,0,"31.4659,-26.5225",
, ,Ethiopia,9.145,40.4897,2/14/2020 0:00,0,0,0,"40.4897,9.145",
, ,Fiji,-17.7134,178.065,2/14/2020 0:00,0,0,0,"178.065,-17.7134",
, ,Finland,64,26,2/14/2020 0:00,1,0,0,"26,64",
,French Guiana,France,3.9339,-53.1258,2/14/2020 0:00,0,0,0,"-53.1258,3.9339",
,French Polynesia,France,-17.6797,149.4068,2/14/2020 0:00,0,0,0,"149.4068,-17.6797",
,Guadeloupe,France,16.25,-61.5833,2/14/2020 0:00,0,0,0,"-61.5833,16.25",
,Martinique,France,14.6415,-61.0242,2/14/2020 0:00,0,0,0,"-61.0242,14.6415",
,Mayotte,France,-12.8275,45.1662,2/14/2020 0:00,0,0,0,"45.1662,-12.8275",
,New Caledonia,France,-20.9043,165.618,2/14/2020 0:00,0,0,0,"165.618,-20.9043",
,Reunion,France,-21.1351,55.2471,2/14/2020 0:00,0,0,18,"55.2471,-21.1351",
,Saint Barthelemy,France,17.9,-62.8333,2/14/2020 0:00,0,0,0,"-62.8333,17.9",
,St Martin,France,18.0708,-63.0501,2/14/2020 0:00,0,0,0,"-63.0501,18.0708",
, ,France,46.2276,2.2137,2/14/2020 0:00,11,0,0,"2.2137,46.2276",
, ,Gabon,-0.8037,11.6094,2/14/2020 0:00,0,0,2,"11.6094,-0.8037",
, ,Gambia,13.4432,-15.3101,2/14/2020 0:00,0,0,1,"-15.3101,13.4432",
, ,Georgia,42.3154,43.3569,2/14/2020 0:00,0,0,0,"43.3569,42.3154",
, ,Germany,51,9,2/14/2020 0:00,16,0,0,"9,51",
, ,Ghana,7.9465,-1.0232,2/14/2020 0:00,0,0,0,"-1.0232,7.9465",
, ,Greece,39.0742,21.8243,2/14/2020 0:00,0,0,0,"21.8243,39.0742",
, ,Grenada,12.1165,-61.679,2/14/2020 0:00,0,0,0,"-61.679,12.1165",
, ,Guatemala,15.7835,-90.2308,2/14/2020 0:00,0,0,0,"-90.2308,15.7835",
, ,Guinea,9.9456,-9.6966,2/14/2020 0:00,0,0,2,"-9.6966,9.9456",
, ,Guinea-Bissau,11.8037,-15.1804,2/14/2020 0:00,0,0,0,"-15.1804,11.8037",
, ,Guyana,5,-58.75,2/14/2020 0:00,0,0,0,"-58.75,5",
, ,Haiti,18.9712,-72.2852,2/14/2020 0:00,0,0,12,"-72.2852,18.9712",
, ,Holy See,41.9029,12.4534,2/14/2020 0:00,0,0,0,"12.4534,41.9029",
, ,Honduras,15.2,-86.2419,2/14/2020 0:00,0,0,0,"-86.2419,15.2",
, ,Hungary,47.1625,19.5033,2/14/2020 0:00,0,0,0,"19.5033,47.1625",
, ,Iceland,64.9631,-19.0208,2/14/2020 0:00,0,0,0,"-19.0208,64.9631",
, ,India,21,78,2/14/2020 0:00,3,0,0,"78,21",
, ,Indonesia,-0.7893,113.9213,2/14/2020 0:00,0,0,0,"113.9213,-0.7893",
, ,Iran,32,53,2/14/2020 0:00,0,0,0,"53,32",
, ,Iraq,33,44,2/14/2020 0:00,0,0,3,"44,33",
, ,Ireland,53.1424,-7.6921,2/14/2020 0:00,0,0,0,"-7.6921,53.1424",
, ,Israel,31,35,2/14/2020 0:00,0,0,0,"35,31",
, ,Italy,43,12,2/14/2020 0:00,3,0,0,"12,43",
, ,Jamaica,18.1096,-77.2975,2/14/2020 0:00,0,0,0,"-77.2975,18.1096",
, ,Japan,36,138,2/14/2020 0:00,29,1,0,"138,36",
, ,Jordan,31.24,36.51,2/14/2020 0:00,0,0,0,"36.51,31.24",
, ,Kazakhstan,48.0196,66.9237,2/14/2020 0:00,0,0,1,"66.9237,48.0196",
, ,Kenya,-0.0236,37.9062,2/14/2020 0:00,0,0,0,"37.9062,-0.0236",
, ,"Korea, South",36,128,2/14/2020 0:00,28,0,3,"128,36",
, ,Kosovo,42.602636,20.902977,2/14/2020 0:00,0,0,0,"20.902977,42.602636",
, ,Kuwait,29.5,47.75,2/14/2020 0:00,0,0,0,"47.75,29.5",
, ,Kyrgyzstan,41.2044,74.7661,2/14/2020 0:00,0,0,0,"74.7661,41.2044",
, ,Laos,19.85627,102.495496,2/14/2020 0:00,0,0,0,"102.495496,19.85627",
, ,Latvia,56.8796,24.6032,2/14/2020 0:00,0,0,7,"24.6032,56.8796",
, ,Lebanon,33.8547,35.8623,2/14/2020 0:00,0,0,0,"35.8623,33.8547",
, ,Liberia,6.4281,-9.4295,2/14/2020 0:00,0,0,0,"-9.4295,6.4281",
, ,Libya,26.3351,17.228331,2/14/2020 0:00,0,0,0,"17.228331,26.3351",
, ,Liechtenstein,47.14,9.55,2/14/2020 0:00,0,0,0,"9.55,47.14",
, ,Lithuania,55.1694,23.8813,2/14/2020 0:00,0,0,0,"23.8813,55.1694",
, ,Luxembourg,49.8153,6.1296,2/14/2020 0:00,0,0,0,"6.1296,49.8153",
, ,MS Zaandam,0,0,2/14/2020 0:00,0,0,0,"0,0",
, ,Madagascar,-18.7669,46.8691,2/14/2020 0:00,0,0,0,"46.8691,-18.7669",
, ,Malaysia,2.5,112.5,2/14/2020 0:00,19,0,0,"112.5,2.5",
, ,Maldives,3.2028,73.2207,2/14/2020 0:00,0,0,0,"73.2207,3.2028",
, ,Mali,17.570692,-3.996166,2/14/2020 0:00,0,0,0,"-3.996166,17.570692",
, ,Malta,35.9375,14.3754,2/14/2020 0:00,0,0,0,"14.3754,35.9375",
, ,Mauritania,21.0079,10.9408,2/14/2020 0:00,0,0,0,"10.9408,21.0079",
, ,Mauritius,-20.2,57.5,2/14/2020 0:00,0,0,0,"57.5,-20.2",
, ,Mexico,23.6345,-102.5528,2/14/2020 0:00,0,0,0,"-102.5528,23.6345",
, ,Moldova,47.4116,28.3699,2/14/2020 0:00,0,0,0,"28.3699,47.4116",
, ,Monaco,43.7333,7.4167,2/14/2020 0:00,0,0,0,"7.4167,43.7333",
, ,Mongolia,46.8625,103.8467,2/14/2020 0:00,0,0,0,"103.8467,46.8625",
, ,Montenegro,42.5,19.3,2/14/2020 0:00,0,0,0,"19.3,42.5",
, ,Morocco,31.7917,-7.0926,2/14/2020 0:00,0,0,0,"-7.0926,31.7917",
, ,Mozambique,-18.665695,35.529562,2/14/2020 0:00,0,0,0,"35.529562,-18.665695",
, ,Namibia,-22.9576,18.4904,2/14/2020 0:00,0,0,0,"18.4904,-22.9576",
, ,Nepal,28.1667,84.25,2/14/2020 0:00,1,0,0,"84.25,28.1667",
,Aruba,Netherlands,12.5186,-70.0358,2/14/2020 0:00,0,0,0,"-70.0358,12.5186",
,Curacao,Netherlands,12.1696,-68.99,2/14/2020 0:00,0,0,4,"-68.99,12.1696",
,Sint Maarten,Netherlands,18.0425,-63.0548,2/14/2020 0:00,0,0,0,"-63.0548,18.0425",
, ,Netherlands,52.1326,5.2913,2/14/2020 0:00,0,0,0,"5.2913,52.1326",
, ,New Zealand,-40.9006,174.886,2/14/2020 0:00,0,0,0,"174.886,-40.9006",
, ,Nicaragua,12.8654,-85.2072,2/14/2020 0:00,0,0,0,"-85.2072,12.8654",
, ,Niger,17.6078,8.0817,2/14/2020 0:00,0,0,4,"8.0817,17.6078",
, ,Nigeria,9.082,8.6753,2/14/2020 0:00,0,0,0,"8.6753,9.082",
, ,Argentina,-38.4161,-63.6167,2/12/2020 0:00,0,0,3,"-63.6167,-38.4161",
, ,Armenia,40.0691,45.0382,2/12/2020 0:00,0,0,24,"45.0382,40.0691",
,Australian Capital Territory,Australia,-35.4735,149.0124,2/12/2020 0:00,0,0,11,"149.0124,-35.4735",
