,UID,iso2,iso3,code3,FIPS,Admin2,Province_State,Country_Region,Lat,Long_,Combined_Key,Date,Confirmed
522,84009005,US,USA,840,9005,Litchfield,Connecticut,US,41.7937534,-73.2451475,"Litchfield, Connecticut, US",3/14/2020,3
523,84009007,US,USA,840,9007,Middlesex,Connecticut,US,41.45949668,-72.53714864,"Middlesex, Connecticut, US",3/14/2020,0
524,84009009,US,USA,840,9009,New Haven,Connecticut,US,41.4080325,-72.93620426,"New Haven, Connecticut, US",3/14/2020,4
525,84009011,US,USA,840,9011,New London,Connecticut,US,41.48896435,-72.10430976,"New London, Connecticut, US",3/14/2020,0
526,84009013,US,USA,840,9013,Tolland,Connecticut,US,41.85853803,-72.3308481,"Tolland, Connecticut, US",3/14/2020,0
527,84009015,US,USA,840,9015,Windham,Connecticut,US,41.82972709,-71.98182316,"Windham, Connecticut, US",3/14/2020,0
528,84080009,US,USA,840,80009,Out of CT,Connecticut,US,0,0,"Out of CT, Connecticut, US",3/14/2020,0
529,84090009,US,USA,840,90009,Unassigned,Connecticut,US,0,0,"Unassigned, Connecticut, US",3/14/2020,0
530,84009001,US,USA,840,9001,Fairfield,Connecticut,US,41.26809896,-73.3881171,"Fairfield, Connecticut, US",3/15/2020,15
531,84009003,US,USA,840,9003,Hartford,Connecticut,US,41.80283011,-72.73103891,"Hartford, Connecticut, US",3/15/2020,2
532,84009005,US,USA,840,9005,Litchfield,Connecticut,US,41.7937534,-73.2451475,"Litchfield, Connecticut, US",3/15/2020,3
533,84009007,US,USA,840,9007,Middlesex,Connecticut,US,41.45949668,-72.53714864,"Middlesex, Connecticut, US",3/15/2020,0
534,84009009,US,USA,840,9009,New Haven,Connecticut,US,41.4080325,-72.93620426,"New Haven, Connecticut, US",3/15/2020,4
535,84009011,US,USA,840,9011,New London,Connecticut,US,41.48896435,-72.10430976,"New London, Connecticut, US",3/15/2020,0
536,84009013,US,USA,840,9013,Tolland,Connecticut,US,41.85853803,-72.3308481,"Tolland, Connecticut, US",3/15/2020,0
537,84009015,US,USA,840,9015,Windham,Connecticut,US,41.82972709,-71.98182316,"Windham, Connecticut, US",3/15/2020,0
538,84080009,US,USA,840,80009,Out of CT,Connecticut,US,0,0,"Out of CT, Connecticut, US",3/15/2020,0
539,84090009,US,USA,840,90009,Unassigned,Connecticut,US,0,0,"Unassigned, Connecticut, US",3/15/2020,0
540,84009001,US,USA,840,9001,Fairfield,Connecticut,US,41.26809896,-73.3881171,"Fairfield, Connecticut, US",3/16/2020,29
541,84009003,US,USA,840,9003,Hartford,Connecticut,US,41.80283011,-72.73103891,"Hartford, Connecticut, US",3/16/2020,4
542,84009005,US,USA,840,9005,Litchfield,Connecticut,US,41.7937534,-73.2451475,"Litchfield, Connecticut, US",3/16/2020,4
543,84009007,US,USA,840,9007,Middlesex,Connecticut,US,41.45949668,-72.53714864,"Middlesex, Connecticut, US",3/16/2020,0
544,84009009,US,USA,840,9009,New Haven,Connecticut,US,41.4080325,-72.93620426,"New Haven, Connecticut, US",3/16/2020,4
545,84009011,US,USA,840,9011,New London,Connecticut,US,41.48896435,-72.10430976,"New London, Connecticut, US",3/16/2020,0
546,84009013,US,USA,840,9013,Tolland,Connecticut,US,41.85853803,-72.3308481,"Tolland, Connecticut, US",3/16/2020,0
